id,date,manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera
49,2015-01-19,shot,vehicle,38,M,B,Riverside,SC,False,attack,Not fleeing,False
50,2015-01-20,shot,undetermined,46,M,W,Georgetown,NY,False,attack,Not fleeing,False
51,2015-01-20,shot,knife,31,M,W,Riverside,OH,False,other,Not fleeing,False
52,2015-01-20,shot,knife,34,M,B,San Francisco,CA,False,other,Not fleeing,False
53,2015-01-21,shot,unarmed,56,M,B,Oakland,CA,False,attack,Not fleeing,False
54,2015-01-21,shot,unarmed,46,M,W,Fort Collins,CO,True,other,Not fleeing,False
55,2015-01-22,shot,gun,42,M,O,Phoenix,AZ,False,undetermined,Not fleeing,False
56,2015-01-22,shot,other,57,M,B,Riverside,WI,False,other,Not fleeing,False
57,2015-01-22,shot,gun,32,M,A,Riverside,VA,False,other,Car,True
58,2015-01-23,shot,other,36,M,W,Lincoln,TN,False,attack,Not fleeing,True
59,2015-01-23,shot,gun,45,M,B,Lincoln,WA,True,attack,Foot,False
60,2015-01-23,shot,gun,45,M,A,San Antonio,TX,True,undetermined,Foot,False
61,2015-01-24,Tasered,undetermined,26,M,B,Lincoln,MN,False,other,Car,False
62,2015-01-24,shot,gun,35,M,H,Fort Collins,CO,False,other,Not fleeing,False
63,2015-01-25,shot,gun,39,M,W,San Francisco,CA,False,attack,Foot,False
64,2015-01-25,shot,knife,47,M,W,Springfield,OH,False,other,Not fleeing,False
65,2015-01-25,shot,knife,45,M,B,Riverside,NM,False,other,Not fleeing,False
66,2015-01-26,shot and Tasered,gun,40,M,W,Lincoln,NM,False,other,Car,False
67,2015-01-26,shot and Tasered,gun,22,M,A,San Diego,CA,False,other,Not fleeing,False
68,2015-01-27,shot,gun,40,M,W,Springfield,NM,False,undetermined,Not fleeing,False
69,2015-01-27,shot,gun,42,M,O,Tampa,FL,True,attack,Car,True
70,2015-01-27,shot,gun,85,M,O,Oakland,CA,False,attack,Not fleeing,True
71,2015-01-28,shot,gun,38,M,W,Madison,AR,False,undetermined,Not fleeing,False
72,2015-01-28,shot,gun,45,M,W,Madison,MS,False,attack,Other,True
73,2015-01-29,shot,knife,61,M,A,Lincoln,MO,False,undetermined,Car,False
74,2015-01-29,shot,undetermined,53,M,O,Lincoln,LA,False,attack,Not fleeing,True
75,2015-01-29,shot,knife,67,M,W,Lincoln,AL,True,other,Not fleeing,False
76,2015-01-30,shot,gun,26,M,W,Lincoln,VA,False,undetermined,Not fleeing,True
77,2015-01-30,shot,knife,29,M,B,Lincoln,NM,False,other,Foot,True
78,2015-01-30,shot and Tasered,undetermined,34,M,B,Madison,NY,True,other,Not fleeing,False
79,2015-01-31,shot,gun,25,M,W,Georgetown,WI,False,attack,Foot,False
80,2015-01-31,shot,gun,42,M,H,Lincoln,MI,True,attack,Other,False
81,2015-02-01,shot,other,30,M,W,Oakland,CA,False,undetermined,Other,True
82,2015-02-01,shot,knife,70,M,W,Georgetown,AR,False,other,Not fleeing,False
83,2015-02-01,shot,unarmed,31,M,W,Riverside,WA,True,attack,Foot,False
84,2015-02-02,shot,knife,37,M,W,Riverside,GA,False,other,Not fleeing,False
85,2015-02-02,shot,gun,54,M,W,Springfield,MO,False,attack,Not fleeing,True
86,2015-02-03,shot,gun,27,M,B,San Francisco,CA,True,other,Not fleeing,False
87,2015-02-03,shot,knife,24,M,W,Lincoln,WA,False,attack,Car,False
88,2015-02-03,shot,gun,44,M,W,Georgetown,MS,False,attack,Car,False
89,2015-02-04,shot,gun,45,M,W,Houston,TX,True,attack,Car,False
90,2015-02-04,shot,gun,54,M,O,Riverside,NC,False,other,Foot,False
91,2015-02-05,shot,undetermined,49,M,W,Madison,IN,True,other,Not fleeing,False
92,2015-02-05,shot,undetermined,45,M,W,Springfield,NC,False,other,Not fleeing,True
93,2015-02-05,shot,gun,32,M,B,Fort Collins,CO,False,attack,Car,False
94,2015-02-06,shot,knife,44,M,O,Georgetown,NC,False,attack,Car,False
95,2015-02-06,shot,gun,45,M,W,Lincoln,WA,False,attack,Not fleeing,False
96,2015-02-07,shot,gun,32,M,B,Lincoln,PA,True,undetermined,Foot,False
97,2015-02-07,shot,gun,78,M,H,Madison,SC,False,undetermined,Not fleeing,False
98,2015-02-07,shot,knife,48,M,B,Madison,NC,False,other,Car,False
99,2015-02-08,shot,gun,29,M,W,Georgetown,AL,False,attack,Not fleeing,True
100,2015-02-08,shot,gun,54,F,B,Riverside,NY,False,other,Not fleeing,False
101,2015-02-08,shot,gun,57,M,W,Fort Collins,CO,True,attack,Foot,False
102,2015-02-09,shot,gun,47,M,B,Riverside,TN,False,other,Not fleeing,False
103,2015-02-09,shot,undetermined,37,M,H,Georgetown,NV,False,other,Foot,False
104,2015-02-10,shot,gun,32,M,W,Lincoln,LA,False,attack,Not fleeing,False
105,2015-02-10,shot,gun,40,M,H,San Francisco,CA,True,other,Car,False
106,2015-02-10,shot,gun,46,M,W,Austin,TX,False,attack,Car,True
107,2015-02-11,shot,gun,41,M,H,Tampa,FL,False,attack,Not fleeing,True
108,2015-02-11,shot,gun,68,M,B,Tampa,FL,False,attack,Foot,False
109,2015-02-12,shot,gun,51,F,W,Springfield,OK,False,other,Not fleeing,False
110,2015-02-12,shot,gun,30,M,W,Oakland,CA,False,attack,Not fleeing,True
111,2015-02-12,shot,gun,28,M,O,Riverside,MD,False,attack,Foot,False
112,2015-02-13,shot,gun,48,M,W,Jacksonville,FL,True,undetermined,Not fleeing,False
113,2015-02-13,shot,gun,38,M,W,Phoenix,AZ,False,undetermined,Not fleeing,False
114,2015-02-14,shot,unarmed,52,M,W,Georgetown,NY,False,other,Not fleeing,False
115,2015-02-14,shot,gun,48,M,B,Fort Worth,TX,False,other,Not fleeing,False
116,2015-02-14,shot,knife,40,M,B,Georgetown,NM,True,undetermined,Not fleeing,False
117,2015-02-15,shot,vehicle,31,M,W,San Francisco,CA,False,other,Foot,False
118,2015-02-15,shot,gun,25,M,W,Madison,NC,True,attack,Not fleeing,True
119,2015-02-15,shot,knife,44,M,W,Springfield,AR,False,attack,Not fleeing,False
120,2015-02-16,shot,knife,27,M,W,Riverside,PA,False,other,Foot,False
121,2015-02-16,shot,knife,30,M,W,Scottsdale,AZ,True,other,Not fleeing,False
122,2015-02-17,shot,undetermined,43,M,H,Riverside,NC,False,undetermined,Car,False
123,2015-02-17,shot,gun,42,M,W,Lincoln,NV,True,other,Not fleeing,False
124,2015-02-17,shot,gun,28,M,W,Lincoln,MN,False,other,Car,False
125,2015-02-18,shot,gun,60,M,W,Georgetown,OR,True,attack,Not fleeing,True
126,2015-02-18,shot,gun,59,M,O,Colorado Springs,CO,False,other,Car,True
127,2015-02-19,shot,gun,49,M,O,Madison,MI,True,attack,Foot,True
128,2015-02-19,shot,undetermined,49,M,H,Sacramento,CA,False,attack,Not fleeing,False
129,2015-02-19,shot and Tasered,gun,49,M,W,Oakland,CA,True,other,Not fleeing,True
130,2015-02-20,shot,gun,85,M,W,Madison,AL,False,attack,Other,True
131,2015-02-20,shot,gun,57,M,W,Dallas,TX,False,other,Not fleeing,False
132,2015-02-21,shot,gun,51,M,W,San Diego,CA,True,other,Not fleeing,False
133,2015-02-21,shot,gun,31,M,B,Orlando,FL,False,attack,Not fleeing,False
134,2015-02-21,Tasered,unarmed,38,M,H,Lincoln,NC,False,attack,Not fleeing,False
135,2015-02-22,shot,other,85,M,H,Springfield,NV,False,attack,Not fleeing,True
136,2015-02-22,shot,gun,22,M,H,Springfield,PA,False,attack,Not fleeing,False
137,2015-02-22,shot,gun,35,M,W,Jacksonville,FL,False,attack,Not fleeing,False
138,2015-02-23,shot,vehicle,60,M,B,Madison,WA,False,attack,Foot,False
139,2015-02-23,shot,undetermined,32,F,W,Riverside,KY,False,undetermined,Car,False
140,2015-02-24,shot,other,52,M,W,Springfield,AL,False,other,Not fleeing,False
141,2015-02-24,shot,knife,41,M,H,Tucson,AZ,False,attack,Not fleeing,False
142,2015-02-24,shot,gun,33,M,W,Lincoln,MN,False,undetermined,Other,True
143,2015-02-25,shot,knife,22,M,W,Madison,NV,False,other,Other,False
144,2015-02-25,shot,gun,44,M,W,San Francisco,CA,False,attack,Other,True
145,2015-02-26,shot,knife,31,M,H,San Diego,CA,False,other,Foot,False
146,2015-02-26,shot,knife,39,M,H,Houston,TX,False,attack,Car,False
147,2015-02-26,shot,knife,49,M,W,Riverside,NV,True,other,Not fleeing,False
148,2015-02-27,shot,gun,55,M,H,Fort Worth,TX,True,other,Other,False
149,2015-02-27,shot,knife,35,F,W,Springfield,WA,False,attack,Car,False
150,2015-02-28,shot,knife,33,M,W,San Diego,CA,False,undetermined,Car,False
151,2015-02-28,Tasered,gun,27,M,H,Lincoln,KY,False,attack,Foot,False
152,2015-02-28,shot,undetermined,56,M,H,Boulder,CO,True,other,Not fleeing,False
153,2015-03-01,shot,knife,85,M,O,Riverside,OR,False,undetermined,Not fleeing,True
154,2015-03-01,shot,knife,59,M,W,Springfield,IN,False,attack,Not fleeing,False
155,2015-03-01,shot,gun,63,M,B,San Francisco,CA,True,other,Not fleeing,False
156,2015-03-02,shot,undetermined,32,M,B,Riverside,OH,False,undetermined,Not fleeing,False
157,2015-03-02,shot,gun,48,M,N,Oakland,CA,False,undetermined,Not fleeing,False
158,2015-03-03,shot,knife,54,M,W,Georgetown,OR,False,other,Foot,True
159,2015-03-03,shot,other,17,M,H,Georgetown,WA,False,attack,Not fleeing,False
160,2015-03-03,shot,undetermined,29,M,B,Oakland,CA,False,attack,Foot,True
161,2015-03-04,shot,knife,72,M,W,Sacramento,CA,False,attack,Not fleeing,False
162,2015-03-04,shot,gun,25,M,B,Madison,GA,False,other,Foot,False
163,2015-03-05,shot,other,67,M,W,Georgetown,IN,True,attack,Not fleeing,False
164,2015-03-05,shot,other,25,M,B,Springfield,OK,False,undetermined,Not fleeing,False
165,2015-03-05,shot,gun,29,M,A,Riverside,MS,False,attack,Not fleeing,False
166,2015-03-06,shot,gun,48,M,B,Boulder,CO,False,attack,Not fleeing,False
167,2015-03-06,shot,gun,42,M,B,Los Angeles,CA,False,attack,Not fleeing,False
168,2015-03-07,shot,gun,36,M,B,Lincoln,MN,False,attack,Car,False
169,2015-03-07,shot,gun,71,M,W,Los Angeles,CA,False,attack,Not fleeing,False
170,2015-03-07,shot,gun,27,M,W,Springfield,IN,True,attack,Foot,False
171,2015-03-08,shot,other,39,M,B,Fort Collins,CO,True,attack,Car,False
172,2015-03-08,shot,gun,50,M,W,Sacramento,CA,True,attack,Not fleeing,True
173,2015-03-08,shot and Tasered,undetermined,45,M,W,Riverside,OK,False,other,Car,False
174,2015-03-09,Tasered,undetermined,33,M,B,Georgetown,MN,False,attack,Not fleeing,False
175,2015-03-09,shot,unarmed,33,M,W,Springfield,WI,True,other,Not fleeing,False
176,2015-03-10,shot,gun,55,M,W,San Antonio,TX,True,attack,Car,False
177,2015-03-10,shot,gun,56,M,B,San Antonio,TX,False,attack,Not fleeing,False
178,2015-03-10,shot,gun,45,M,W,Riverside,LA,False,other,Car,False
179,2015-03-11,Tasered,other,31,M,O,Madison,PA,False,attack,Not fleeing,False
180,2015-03-11,shot,gun,34,M,A,Riverside,IL,False,attack,Not fleeing,False
181,2015-03-12,shot,gun,41,M,H,Fort Worth,TX,False,other,Car,True
182,2015-03-12,shot and Tasered,gun,43,M,W,Riverside,WI,True,attack,Not fleeing,False
183,2015-03-12,shot,gun,49,M,H,Lincoln,PA,False,attack,Not fleeing,False
184,2015-03-13,shot,other,38,F,H,Lincoln,AR,False,attack,Not fleeing,False
185,2015-03-13,shot,gun,54,M,H,Lincoln,NY,False,attack,Car,True
186,2015-03-14,shot,knife,54,M,W,Lincoln,GA,False,attack,Not fleeing,True
187,2015-03-14,shot,gun,64,M,B,Lincoln,MN,False,attack,Foot,False
188,2015-03-14,shot and Tasered,undetermined,41,M,H,Lincoln,LA,True,attack,Not fleeing,False
189,2015-03-15,shot,gun,46,M,B,Lincoln,MS,False,attack,Car,True
190,2015-03-15,shot,undetermined,39,F,B,Lincoln,WI,False,attack,Not fleeing,False
191,2015-03-16,shot,gun,31,M,B,Lincoln,OK,False,other,Not fleeing,False
192,2015-03-16,shot,knife,84,M,B,Georgetown,NY,True,undetermined,Foot,False
193,2015-03-16,shot,gun,61,M,W,Sacramento,CA,False,attack,Not fleeing,False
194,2015-03-17,shot,gun,54,M,B,San Francisco,CA,False,attack,Not fleeing,False
195,2015-03-17,shot,gun,41,M,W,Fort Worth,TX,True,other,Not fleeing,False
196,2015-03-17,shot and Tasered,gun,30,M,W,San Antonio,TX,True,other,Not fleeing,True
197,2015-03-18,shot and Tasered,gun,57,F,W,Miami,FL,False,other,Not fleeing,False
198,2015-03-18,shot,knife,39,M,B,Tempe,AZ,False,attack,Foot,False
199,2015-03-19,shot,gun,47,M,W,Fort Collins,CO,False,other,Not fleeing,False
200,2015-03-19,shot,gun,34,M,H,Georgetown,NC,True,attack,Foot,False
201,2015-03-19,shot,gun,44,M,H,Los Angeles,CA,False,attack,Not fleeing,False
202,2015-03-20,shot,gun,34,M,W,Los Angeles,CA,False,other,Foot,False
203,2015-03-20,shot,gun,35,M,W,Lincoln,OK,True,attack,Foot,False
204,2015-03-21,shot,gun,44,M,W,Lincoln,NY,False,attack,Not fleeing,True
205,2015-03-21,shot,gun,25,M,A,Riverside,NC,False,undetermined,Car,False
206,2015-03-21,shot,gun,26,M,B,Springfield,PA,False,other,Not fleeing,False
207,2015-03-22,Tasered,knife,32,M,B,Lincoln,AL,False,other,Foot,False
208,2015-03-22,shot,gun,38,M,W,Springfield,NC,True,attack,Foot,False
209,2015-03-23,shot,undetermined,55,M,B,Riverside,PA,False,attack,Not fleeing,False
210,2015-03-23,shot,other,39,M,A,Madison,WI,True,attack,Not fleeing,False
211,2015-03-23,shot,knife,41,M,H,Springfield,AR,False,other,Not fleeing,False
212,2015-03-24,shot,gun,37,M,B,Riverside,NC,False,attack,Not fleeing,False
213,2015-03-24,shot,knife,46,M,W,Riverside,TN,False,attack,Not fleeing,False
214,2015-03-24,shot,knife,31,M,W,Dallas,TX,False,other,Not fleeing,False
215,2015-03-25,shot,gun,39,M,W,Georgetown,LA,False,other,Foot,False
216,2015-03-25,shot,gun,47,F,W,Lincoln,MN,False,undetermined,Not fleeing,False
217,2015-03-26,shot,gun,44,M,W,Springfield,WA,False,attack,Not fleeing,True
218,2015-03-26,shot,gun,41,M,W,Georgetown,KY,False,attack,Not fleeing,False
219,2015-03-26,shot,knife,41,M,W,Springfield,GA,False,undetermined,Not fleeing,False
220,2015-03-27,shot,undetermined,49,M,O,Georgetown,MI,True,other,Car,False
221,2015-03-27,shot,gun,85,M,B,Lincoln,LA,True,attack,Not fleeing,False
222,2015-03-28,shot,gun,31,M,H,San Francisco,CA,False,other,Not fleeing,False
223,2015-03-28,shot and Tasered,gun,85,M,H,Springfield,MO,False,attack,Car,False
224,2015-03-28,shot,gun,31,M,W,Orlando,FL,False,attack,Foot,True
225,2015-03-29,shot,gun,21,M,H,Sacramento,CA,False,attack,Not fleeing,False
226,2015-03-29,shot,gun,34,M,W,Springfield,AL,False,attack,Not fleeing,False
227,2015-03-30,shot,gun,46,M,B,Tampa,FL,True,attack,Not fleeing,False
228,2015-03-30,shot,knife,78,M,W,Madison,SC,False,attack,Foot,True
229,2015-03-30,shot,knife,30,M,O,Mesa,AZ,False,attack,Not fleeing,False
230,2015-03-31,shot,undetermined,49,M,W,Austin,TX,False,attack,Not fleeing,False
231,2015-03-31,shot,knife,26,M,W,Madison,MN,False,other,Not fleeing,False
232,2015-03-31,shot,gun,77,M,O,Denver,CO,True,attack,Foot,False
233,2015-04-01,shot,vehicle,62,M,W,Madison,MO,False,undetermined,Not fleeing,False
234,2015-04-01,shot,gun,35,M,H,Springfield,MO,False,other,Not fleeing,False
235,2015-04-02,shot,gun,65,M,H,Lincoln,LA,True,other,Car,False
236,2015-04-02,shot,gun,39,M,H,Riverside,KY,False,attack,Foot,False
237,2015-04-02,shot,gun,63,M,O,Georgetown,OK,False,attack,Not fleeing,False
238,2015-04-03,shot,gun,41,M,O,Madison,GA,False,attack,Foot,False
239,2015-04-03,shot,gun,42,M,W,Georgetown,MS,False,attack,Not fleeing,False
240,2015-04-04,shot,gun,35,M,H,Dallas,TX,True,attack,Car,False
241,2015-04-04,shot,gun,51,M,B,Lincoln,NY,False,attack,Not fleeing,False
242,2015-04-04,Tasered,vehicle,43,M,B,Lincoln,WI,False,other,Foot,False
243,2015-04-05,shot,gun,49,M,W,Riverside,PA,True,attack,Not fleeing,False
244,2015-04-05,shot,gun,25,M,B,Georgetown,AL,True,other,Car,False
245,2015-04-06,shot,vehicle,64,M,O,Madison,TN,False,attack,Car,False
246,2015-04-06,shot and Tasered,gun,70,M,N,Springfield,AR,True,other,Foot,False
247,2015-04-06,shot,unarmed,43,M,W,Lincoln,IN,True,attack,Car,False
248,2015-04-07,shot,unarmed,83,F,W,Orlando,FL,False,attack,Not fleeing,False
249,2015-04-07,shot,other,75,M,W,Fort Worth,TX,True,attack,Not fleeing,False
250,2015-04-07,shot,gun,51,M,H,Madison,OH,False,other,Foot,False
251,2015-04-08,shot,gun,66,F,H,Georgetown,OK,True,attack,Foot,False
252,2015-04-08,shot,knife,59,M,B,Tampa,FL,False,attack,Not fleeing,True
253,2015-04-09,shot,gun,23,M,W,Los Angeles,CA,False,attack,Not fleeing,False
254,2015-04-09,Tasered,gun,37,F,W,Denver,CO,True,other,Car,False
255,2015-04-09,shot,gun,52,M,B,Riverside,WI,False,attack,Not fleeing,False
256,2015-04-10,shot and Tasered,knife,72,M,O,Riverside,OK,False,other,Not fleeing,False
257,2015-04-10,shot,gun,26,M,B,Madison,GA,False,attack,Not fleeing,False
258,2015-04-11,shot,knife,23,M,W,San Antonio,TX,False,attack,Car,False
259,2015-04-11,shot,gun,40,M,B,Aurora,CO,True,other,Foot,False
260,2015-04-11,shot,knife,21,M,W,San Antonio,TX,False,attack,Not fleeing,False
261,2015-04-12,shot,gun,40,M,O,Los Angeles,CA,False,other,Foot,False
262,2015-04-12,shot,gun,46,M,W,Riverside,OR,False,attack,Not fleeing,False
263,2015-04-13,shot and Tasered,gun,30,M,B,Riverside,MI,False,attack,Foot,False
264,2015-04-13,shot,gun,40,M,W,Austin,TX,False,other,Not fleeing,False
265,2015-04-13,shot,gun,57,M,B,San Francisco,CA,True,undetermined,Not fleeing,False
266,2015-04-14,shot,gun,34,M,B,Tucson,AZ,False,attack,Not fleeing,False
267,2015-04-14,shot,other,31,M,H,Georgetown,OH,False,other,Not fleeing,False
268,2015-04-15,shot,knife,39,M,W,Fort Worth,TX,False,other,Foot,False
269,2015-04-15,shot,unarmed,29,M,W,Scottsdale,AZ,True,other,Foot,True
270,2015-04-15,shot,other,80,M,W,San Antonio,TX,False,undetermined,Foot,False
271,2015-04-16,shot,gun,41,M,B,Lincoln,VA,True,other,Not fleeing,False
272,2015-04-16,shot,gun,32,M,W,Lincoln,NV,True,other,Not fleeing,False
273,2015-04-16,shot,undetermined,44,F,B,Springfield,PA,False,attack,Not fleeing,False
274,2015-04-17,shot,knife,39,M,A,Riverside,GA,False,attack,Foot,False
275,2015-04-17,shot,other,38,M,A,Springfield,OR,False,other,Not fleeing,False
276,2015-04-18,shot,knife,34,M,W,Riverside,WI,False,other,Other,False
277,2015-04-18,shot,vehicle,33,M,B,Austin,TX,False,other,Not fleeing,False
278,2015-04-18,shot,undetermined,25,M,W,Orlando,FL,True,attack,Not fleeing,False
279,2015-04-19,shot and Tasered,vehicle,66,M,B,Madison,NY,False,other,Foot,False
280,2015-04-19,shot,gun,50,M,H,San Diego,CA,False,attack,Foot,False
281,2015-04-20,shot,gun,46,M,W,Lincoln,NC,False,undetermined,Not fleeing,False
282,2015-04-20,shot,unarmed,39,M,W,Georgetown,LA,False,attack,Foot,False
283,2015-04-20,shot,vehicle,30,M,H,Madison,WA,True,attack,Foot,True
284,2015-04-21,shot,gun,32,M,A,Scottsdale,AZ,False,attack,Foot,False
285,2015-04-21,shot,gun,26,M,W,Springfield,NY,False,attack,Foot,False
286,2015-04-22,shot,knife,33,M,B,Georgetown,WI,False,undetermined,Not fleeing,False
287,2015-04-22,shot,gun,28,M,W,San Antonio,TX,False,other,Not fleeing,False
288,2015-04-22,shot,gun,73,M,W,Lincoln,TN,False,other,Foot,True
289,2015-04-23,shot and Tasered,gun,56,M,N,Sacramento,CA,True,attack,Not fleeing,False
290,2015-04-23,shot,undetermined,42,M,H,Los Angeles,CA,False,attack,Car,False
291,2015-04-23,shot,gun,30,M,H,Springfield,NY,False,other,Foot,False
292,2015-04-24,shot,gun,29,M,W,Oakland,CA,False,other,Not fleeing,False
293,2015-04-24,shot,unarmed,38,M,H,San Diego,CA,False,undetermined,Not fleeing,False
294,2015-04-25,shot,gun,56,M,W,Austin,TX,False,other,Not fleeing,False
295,2015-04-25,shot,gun,26,M,W,Georgetown,LA,False,attack,Not fleeing,False
296,2015-04-25,shot,other,50,M,B,Georgetown,NV,False,undetermined,Not fleeing,True
297,2015-04-26,shot,knife,33,M,W,Houston,TX,False,undetermined,Car,False
298,2015-04-26,shot,gun,35,M,H,Lincoln,TN,True,undetermined,Foot,False
299,2015-04-27,shot,unarmed,42,M,B,Dallas,TX,False,other,Car,False
300,2015-04-27,shot,vehicle,31,M,W,Springfield,MO,False,attack,Not fleeing,False
301,2015-04-27,shot,unarmed,38,M,W,Lincoln,GA,False,attack,Car,False
302,2015-04-28,shot,gun,30,M,W,Georgetown,TN,True,other,Other,False
303,2015-04-28,shot,gun,33,M,W,Georgetown,MI,False,attack,Not fleeing,False
304,2015-04-29,shot,knife,53,M,B,Madison,IN,False,undetermined,Car,False
305,2015-04-29,shot,gun,42,M,H,San Francisco,CA,True,attack,Not fleeing,False
306,2015-04-29,shot,gun,53,M,W,Springfield,NM,False,attack,Car,True
307,2015-04-30,shot,gun,33,M,W,San Diego,CA,True,attack,Not fleeing,False
308,2015-04-30,shot,knife,50,M,B,Madison,WI,False,attack,Other,False
309,2015-04-30,shot,gun,24,M,H,Orlando,FL,False,other,Not fleeing,False
310,2015-05-01,shot,gun,42,M,W,Springfield,GA,False,other,Not fleeing,False
311,2015-05-01,shot,vehicle,51,M,W,Los Angeles,CA,False,attack,Not fleeing,False
312,2015-05-02,shot,gun,24,M,B,Oakland,CA,True,other,Car,True
313,2015-05-02,Tasered,gun,33,M,W,Springfield,NV,False,attack,Car,False
314,2015-05-02,shot,knife,42,M,W,Madison,IN,False,attack,Not fleeing,False
315,2015-05-03,shot,gun,58,M,H,Georgetown,MO,False,other,Not fleeing,False
316,2015-05-03,shot and Tasered,knife,33,M,B,Springfield,NV,False,other,Not fleeing,False
317,2015-05-04,shot,gun,49,M,B,Riverside,MD,False,undetermined,Car,False
318,2015-05-04,shot,gun,67,M,H,Tampa,FL,False,attack,Foot,False
319,2015-05-04,shot,gun,50,M,B,Sacramento,CA,True,attack,Not fleeing,False
320,2015-05-05,shot,other,38,M,W,San Francisco,CA,True,undetermined,Not fleeing,False
321,2015-05-05,shot,gun,46,M,W,Colorado Springs,CO,False,attack,Not fleeing,False
322,2015-05-06,shot,knife,33,M,W,Miami,FL,False,attack,Not fleeing,False
323,2015-05-06,Tasered,gun,42,M,W,Oakland,CA,False,undetermined,Car,True
324,2015-05-06,shot,gun,39,M,B,Fort Worth,TX,False,other,Not fleeing,True
325,2015-05-07,shot,gun,46,M,H,San Antonio,TX,False,attack,Not fleeing,True
326,2015-05-07,shot,undetermined,35,M,O,Springfield,KY,False,other,Foot,True
327,2015-05-07,shot,gun,47,M,B,Fort Worth,TX,False,other,Foot,False
