city,state,median_income,poverty_rate,hs_grad_rate,share_white,share_black,share_hispanic,share_asian
Lincoln,MS,62314,20.9,81.3,43.2,23.0,33.7,7.6
Georgetown,MS,69890,22.5,86.7,46.0,17.5,36.5,7.4
Springfield,NM,67690,20.2,85.6,67.6,15.9,16.6,10.4
Riverside,NM,62704,21.7,83.7,59.8,9.6,30.7,12.7
Madison,NM,59403,21.8,84.1,55.5,28.6,15.9,1.1
Lincoln,NM,66475,24.2,90.5,47.5,17.7,34.9,1.3
Georgetown,NM,36247,26.6,87.8,37.7,25.6,36.7,4.8
Springfield,OR,48933,23.0,82.2,40.1,25.6,34.3,11.3
Riverside,OR,41685,23.9,82.6,49.5,26.0,24.5,3.7
Madison,OR,51763,20.7,80.1,47.1,7.1,45.8,6.7
Lincoln,OR,50482,25.8,82.8,47.6,24.9,27.6,8.1
Georgetown,OR,25000,25.8,76.4,75.1,8.4,16.5,6.2
Springfield,KY,42715,30.2,85.7,49.4,38.4,12.3,7.5
Riverside,KY,73810,21.4,85.2,59.7,29.8,10.5,12.2
Madison,KY,48627,16.9,85.4,69.7,20.9,9.4,4.2
Lincoln,KY,57179,22.0,81.7,49.0,17.9,33.1,5.6
Georgetown,KY,92813,13.4,98.0,60.8,21.2,18.0,8.4
Springfield,IN,61796,15.9,89.5,51.8,17.4,30.8,13.1
Riverside,IN,83742,20.9,91.1,28.8,37.2,34.0,3.9
Madison,IN,60022,24.7,90.2,27.5,34.9,37.6,8.3
Lincoln,IN,47535,28.6,87.0,40.8,8.9,50.3,13.3
Georgetown,IN,48362,26.0,86.2,46.0,28.0,26.0,2.6
Springfield,WI,62404,26.0,82.2,54.5,31.3,14.1,11.1
Riverside,WI,58711,24.9,90.4,60.9,26.7,12.4,4.1
Madison,WI,77464,22.7,94.0,53.3,30.4,16.3,3.4
Lincoln,WI,99025,17.4,92.0,72.8,22.1,5.1,4.3
Georgetown,WI,72986,23.0,91.1,61.8,11.7,26.6,8.0
Springfield,MN,58370,25.4,77.4,58.3,21.3,20.3,9.4
Riverside,MN,65254,20.5,80.0,61.2,24.9,13.8,3.7
Madison,MN,65198,16.7,86.9,54.3,14.1,31.6,2.6
Lincoln,MN,59805,24.9,90.0,37.2,25.8,37.0,7.3
Georgetown,MN,47720,24.3,85.2,73.0,16.4,10.6,1.8
Springfield,MI,46098,22.3,83.2,63.7,25.1,11.2,8.5
Riverside,MI,61492,22.5,87.0,48.3,36.2,15.6,10.6
Madison,MI,38336,26.8,82.2,37.4,37.7,24.9,14.2
Lincoln,MI,53818,25.9,82.0,44.5,11.3,44.2,3.0
Georgetown,MI,84819,20.7,94.0,58.7,16.5,24.9,7.1
